	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
609	Alistipes	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
610	Parabacteroides	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
611	Atopobium	2	Saliva	#7effb5	8.0	0.0	#ff592d	#8000ff
612	Parabacteroides	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
613	Bacillus	1	Anterior_nares	#8000ff	7.0	0.0	#ffa558	#8000ff
614	Parabacteroides	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
615	Campylobacter	2	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
616	Parabacteroides	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
617	Catonella	2	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
618	Parabacteroides	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
619	Dialister	2	Stool	#b2f396	8.0	0.0	#ff592d	#8000ff
620	Parabacteroides	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
621	Faecalibacterium	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
