	source	target	weight	edge_sample	edcolor
4276	Streptococcus sp. C150	Parabacteroides merdae	1.0	Intertype	#cccccc
4277	Parabacteroides merdae	Streptococcus sp. C150	1.0	Intertype	#cccccc
4278	Streptococcus sp. C150	Prevotella enoeca	1.0	Intertype	#cccccc
4279	Prevotella enoeca	Streptococcus sp. C150	1.0	Intertype	#cccccc
4280	Streptococcus sp. C150	Roseburia faecis	1.0	Intertype	#cccccc
4281	Roseburia faecis	Streptococcus sp. C150	1.0	Intertype	#cccccc
4282	Streptococcus sp. C150	Roseburia intestinalis	1.0	Intertype	#cccccc
4283	Roseburia intestinalis	Streptococcus sp. C150	1.0	Intertype	#cccccc
4284	Streptococcus sp. C150	Roseburia inulinivorans	1.0	Intertype	#cccccc
4285	Roseburia inulinivorans	Streptococcus sp. C150	1.0	Intertype	#cccccc
4286	Streptococcus sp. C150	Ruminococcus callidus	1.0	Intertype	#cccccc
4287	Ruminococcus callidus	Streptococcus sp. C150	1.0	Intertype	#cccccc
4288	Streptococcus sp. C150	Staphylococcus auricularis	1.0	Intertype	#cccccc
4289	Staphylococcus auricularis	Streptococcus sp. C150	1.0	Intertype	#cccccc
4290	Streptococcus sp. C300	Prevotella bivia	3.0	Intertype	#cccccc
4291	Prevotella bivia	Streptococcus sp. C300	3.0	Intertype	#cccccc
4292	Streptococcus sp. C300	Streptococcus sobrinus	3.0	Buccal_mucosa	#1996f3
4293	Streptococcus sobrinus	Streptococcus sp. C300	3.0	Buccal_mucosa	#1996f3
4294	Streptococcus sp. CCH8-C6	Acinetobacter junii	1.0	Intertype	#cccccc
4295	Acinetobacter junii	Streptococcus sp. CCH8-C6	1.0	Intertype	#cccccc
4296	Streptococcus sp. CCH8-G7	[Eubacterium] eligens	1.0	Intertype	#cccccc
4297	[Eubacterium] eligens	Streptococcus sp. CCH8-G7	1.0	Intertype	#cccccc
4298	Streptococcus sp. CCH8-G7	Akkermansia muciniphila	1.0	Intertype	#cccccc
4299	Akkermansia muciniphila	Streptococcus sp. CCH8-G7	1.0	Intertype	#cccccc
4300	Streptococcus sp. CCH8-G7	Alistipes obesi	1.0	Intertype	#cccccc
4301	Alistipes obesi	Streptococcus sp. CCH8-G7	1.0	Intertype	#cccccc
4302	Streptococcus sp. CCH8-G7	Alistipes onderdonkii	1.0	Intertype	#cccccc
4303	Alistipes onderdonkii	Streptococcus sp. CCH8-G7	1.0	Intertype	#cccccc
4304	Streptococcus sp. CCH8-G7	Alistipes senegalensis	1.0	Intertype	#cccccc
4305	Alistipes senegalensis	Streptococcus sp. CCH8-G7	1.0	Intertype	#cccccc
4306	Streptococcus sp. CCH8-G7	Alistipes shahii	1.0	Intertype	#cccccc
4307	Alistipes shahii	Streptococcus sp. CCH8-G7	1.0	Intertype	#cccccc
4308	Streptococcus sp. CCH8-G7	Bacteroides caccae	1.0	Intertype	#cccccc
4309	Bacteroides caccae	Streptococcus sp. CCH8-G7	1.0	Intertype	#cccccc
